room_id,survey_id,host_id,room_type,city,reviews,overall_satisfaction,accommodates,bedrooms,price
4994407,1498,25749896,Entire home/apt,Asheville,31,5,6,3,250
17638575,1498,82111852,Entire home/apt,Asheville,10,5,8,2,250
10524188,1498,28629826,Entire home/apt,Asheville,15,5,4,1,225
17648416,1498,1786031,Entire home/apt,Asheville,3,5,2,1,250
17618702,1498,71812166,Entire home/apt,Asheville,14,5,6,3,225
12229453,1498,61981814,Entire home/apt,Asheville,47,5,5,2,250
5885284,1498,14991088,Entire home/apt,Asheville,62,5,4,2,262
12310425,1498,64613905,Entire home/apt,Asheville,24,5,8,3,250
291937,1498,397780,Entire home/apt,Asheville,122,5,2,1,250
19307742,1498,135212332,Entire home/apt,Asheville,2,0,6,3,225
971003,1498,5306734,Entire home/apt,Asheville,93,5,4,2,245
16587446,1498,78507878,Entire home/apt,Asheville,40,5,6,2,250
706115,1498,3605290,Entire home/apt,Asheville,262,5,4,2,250
13388627,1498,32054468,Entire home/apt,Asheville,11,4.5,4,2,200
13514183,1498,32054468,Entire home/apt,Asheville,7,4.5,4,2,200
80905,1498,427027,Entire home/apt,Asheville,67,5,10,2,190
15181949,1498,78726475,Entire home/apt,Asheville,14,4.5,6,2,183
6180513,1498,32054468,Entire home/apt,Asheville,15,4.5,4,2,200
12625582,1498,39878805,Entire home/apt,Asheville,2,0,6,2,200
10263107,1498,52768352,Entire home/apt,Asheville,4,5,2,1,199
2624781,1498,1092030,Entire home/apt,Asheville,1,0,4,2,195
990426,1498,427027,Entire home/apt,Asheville,34,5,5,2,190
14555712,1498,90120472,Entire home/apt,Asheville,9,4.5,4,1,199
14672298,1498,5704967,Entire home/apt,Asheville,30,5,8,2,190
13180224,1498,22763355,Entire home/apt,Asheville,44,5,4,2,190
1499885,1498,8015116,Entire home/apt,Asheville,180,5,2,0,192
13186091,1498,51831860,Entire home/apt,Asheville,30,5,2,1,200
13606248,1498,78726475,Entire home/apt,Asheville,21,4.5,6,2,185
11167742,1498,58101581,Entire home/apt,Asheville,82,5,5,2,185
7998973,1498,23661387,Entire home/apt,Asheville,17,5,4,2,180
14487885,1498,78726475,Entire home/apt,Asheville,25,5,8,3,189
19853896,1498,126414164,Entire home/apt,Asheville,0,0,6,2,189
17403585,1498,117659309,Entire home/apt,Asheville,13,5,9,3,199
13524286,1498,32054468,Entire home/apt,Asheville,9,5,4,2,200
18837080,1498,112156921,Entire home/apt,Asheville,7,4.5,11,3,200
18473371,1498,128125554,Entire home/apt,Asheville,15,5,6,3,200
16832848,1498,81192738,Entire home/apt,Asheville,8,5,6,2,200
8624659,1498,42676282,Entire home/apt,Asheville,97,5,4,0,190
1852818,1498,9674379,Entire home/apt,Asheville,87,5,4,1,160
4815479,1498,1329460,Entire home/apt,Asheville,1,0,2,1,164
5464591,1498,28342264,Entire home/apt,Asheville,78,5,4,2,150
768598,1498,4054572,Entire home/apt,Asheville,72,5,2,1,150
11773647,1498,58867576,Entire home/apt,Asheville,72,5,2,0,175
16603859,1498,8051732,Entire home/apt,Asheville,11,5,2,1,147
6540096,1498,16526258,Entire home/apt,Asheville,10,5,6,2,150
15529984,1498,68810469,Entire home/apt,Asheville,21,4.5,4,2,146
1956037,1498,10110069,Entire home/apt,Asheville,91,5,6,2,150
4484272,1498,23265430,Entire home/apt,Asheville,19,5,8,3,175
13355384,1498,1872084,Entire home/apt,Asheville,44,5,6,2,177
11946709,1498,42432803,Entire home/apt,Asheville,41,5,4,2,150
9182448,1498,47777952,Entire home/apt,Asheville,16,5,3,1,150
8304838,1498,43786749,Entire home/apt,Asheville,5,5,4,1,175
18856970,1498,55577636,Entire home/apt,Asheville,1,0,4,2,175
6056098,1498,31430181,Entire home/apt,Asheville,42,5,3,1,140
15896338,1498,98482510,Entire home/apt,Asheville,14,5,2,1,150
6575162,1498,11706210,Entire home/apt,Asheville,60,5,4,1,155
18443901,1498,7500252,Entire home/apt,Asheville,3,4.5,4,2,158
943832,1498,5107042,Entire home/apt,Asheville,67,4.5,6,3,175
18068399,1498,53939305,Entire home/apt,Asheville,12,5,8,3,180
